id	label	alpha	text
0	3	a	all right jim . your quarterlies look very good . how are things at the library ? 
1	2	a	oh , i told you . i couldn't close it . so . . . 
2	3	a	so you've come to the master for guidance ? is this what you're saying , grasshopper ? 
3	2	a	actually , you called me in here , but yeah . 
4	3	a	all right . well , let me show you how it's done . 
5	4	a	well . i don't know . 
6	3	a	if you think she's cute now , you should have seen her a couple of years ago . 
7	4	a	what ? 
8	3	a	any messages ? 
9	4	a	uh , yeah . just a fax . 
10	3	a	oh ! pam , this is from corporate . how many times have i told you ? there's a special filing cabinet for things from corporate . 
11	4	a	you haven't told me . 
12	3	a	it's called the wastepaper basket ! look at that ! look at that face . 
13	3	a	people say i am the best boss . they go , 'god we've never worked in a place like this before . you're hilarious . ' 'and you get the best out of us . ' i think that pretty much sums it up . i found it at spencer gifts . 
14	1	a	 shall i play for you ? pa rum pump um pum i have no gifts for you . pa rum pump um pum 
15	2	a	my job is to speak to clients on the phone about . . . uh , quantities and type of copier paper . you know , whether we can supply it to them . whether they can pay for it . and . . . i'm boring myself just talking about this . 
16	3	a	whassup ! 
17	2	a	whassup ! i still love that after seven years . 
18	3	a	whassup ! 
19	1	a	whassup ! 
20	3	a	whass . . . up ! 
21	1	a	whassup . 
22	3	a	 what ? 
23	2	a	nothing . 
24	3	a	ok . all right . see you later . 
25	2	a	all right . take care . 
26	3	a	back to work . 
27	3	a	corporate really doesn't really interfere with me at all . jan levinson gould . jan , hello . i call her hillary rodham clinton . right ? not to her face , because . . . well , not because i'm scared of her . because i'm not . but , um . . . yeah . 
28	3	a	um . . . me no get an agenda . 
29	3	a	i didn't get any agenda . 
30	3	a	really ? i didn't . . . did we get a fax this morning ? 
31	4	a	uh , yeah , the one . . . 
32	3	a	why isn't it in my hand ? a company runs on efficiency of communication , right ? so what's the problem , pam ? why didn't i get it ? 
33	4	a	you put in the garbage can that was a special filing cabinet . 
34	3	a	yeah , that was a joke . that was a joke that was actually my brother's , and . . . it was supposed to be with bills and it doesn't work great with faxes . 
35	3	a	yeah , yeah . lovely . thank you . 
36	3	a	ok . . . 
37	3	a	no , no , no , no , this is good . this is good . this is fine . excellent . 
38	3	a	all the alarm bells are kind of going . . . ringie-dingie-ding ! 
39	3	a	ok . no problem . 
40	3	a	me no wanna hear that , jan . because downsizing is a bitch . it is a real bitch . and i wouldn't wish that on josh's men . i certainly wouldn't wish it on my men . or women , present company excluded . sorry . uh , is josh concerned about downsizing himself ? not downsizing himself but is he concerned about downsizing ? 
41	3	a	question . how long do we have to . . . oh uh , todd packer , terrific rep . do you mind if i take it ? 
42	3	a	packman . 
43	3	a	oh , that's not appropriate . 
44	3	a	uh , i don't know what you mean . 
45	3	a	oh , my god ! oh ! that's . . . horrifying . horrible . horrible person . 
46	3	a	no , absolutely . under this regime , it will not leave this office . like that . 
47	4	a	i have an important question for you . 
48	2	a	yes ? 
49	4	a	are you going to angela's cat party on sunday ? 
50	2	a	yeah , stop . that is ridiculous . 
51	3	a	am i going to tell them ? no , i am not going to tell them . i don't see the point of that . as a doctor , you would not tell a patient if they had cancer . 
52	3	a	hey . 
