id,line_text,speaker,word count
1,All right Jim. Your quarterlies look very good. How are things at the library?,michael,14
2,"Oh, I told you. I couldn't close it. So...",jim,9
3,"So you've come to the master for guidance? Is this what you're saying, grasshopper?",michael,14
4,"Actually, you called me in here, but yeah.",jim,8
5,"All right. Well, let me show you how it's done.",michael,10
8,Well. I don't know.,pam,4
9,"If you think she's cute now, you should have seen her a couple of years ago. [growls]",michael,17
10,What?,pam,1
11,Any messages?,michael,2
12,"Uh, yeah. Just a fax.",pam,5
13,"Oh! Pam, this is from Corporate. How many times have I told you? There's a special filing cabinet for things from corporate.",michael,22
14,You haven't told me.,pam,4
15,It's called the wastepaper basket! Look at that! Look at that face.,michael,12
16,"People say I am the best boss. They go, 'God we've never worked in a place like this before. You're hilarious.' 'And you get the best out of us.' [shows the camera his WORLD'S BEST BOSS mug] I think that pretty much sums it up. I found it at Spencer Gifts.",michael,51
17,[singing] Shall I play for you? Pa rum pump um pum [Imitates heavy drumming] I have no gifts for you. Pa rum pump um pum [Imitates heavy drumming],dwight,28
18,"My job is to speak to clients on the phone about... uh, quantities and type of copier paper. You know, whether we can supply it to them. Whether they can pay for it. And... I'm boring myself just talking about this.",jim,41
19,Whassup!,michael,1
20,Whassup! I still love that after seven years.,jim,8
21,Whassup!,michael,1
22,Whassup!,dwight,1
23,Whass...up!,michael,1
24,Whassup.,dwight,1
25,"[Strains, grunts] What?",michael,3
26,Nothing.,jim,1
27,OK. All right. See you later.,michael,6
28,All right. Take care.,jim,4
29,Back to work.,michael,3
31,"Corporate really doesn't really interfere with me at all. Jan Levinson Gould. [walking out of his office] Jan, hello.  I call her Hillary Rodham Clinton. Right? Not to her face, because... well, not because I'm scared of her. Because I'm not. But, um... Yeah.",michael,45
33,Um... Me no get an agenda.,michael,6
35,I didn't get any agenda.,michael,5
37,Really? I didn't... [looks at Pam] Did we get a fax this morning?,michael,13
38,"Uh, yeah, the one...",pam,4
39,"Why isn't it in my hand? A company runs on efficiency of communication, right? So what's the problem, Pam? Why didn't I get it?",michael,24
40,You put in the garbage can that was a special filing cabinet.,pam,12
41,"Yeah, that was a joke. That was a joke that was actually my brother's, and... It was supposed to be with bills and it doesn't work great with faxes.",michael,29
43,"Yeah, yeah. Lovely. Thank you.",michael,5
45,OK...,michael,1
47,"No, no, no, no, this is good. This is good. This is fine. Excellent.",michael,14
49,All the alarm bells are kind of going... ringie-dingie-ding!,michael,9
51,OK. No problem.,michael,3
53,"Me no wanna hear that, Jan. Because downsizing is a bitch. It is a real bitch. And I wouldn't wish that on Josh's men. I certainly wouldn't wish it on my men. Or women, present company excluded. Sorry. Uh, is Josh concerned about downsizing himself? Not downsizing himself but is he concerned about downsizing?",michael,54
54,"Question. How long do we have to... [Telephone rings] Oh uh, Todd Packer, terrific rep. Do you mind if I take it?",michael,22
56,Packman.,michael,1
58,"Oh, that's not appropriate.",michael,4
60,"Uh, I don't know what you mean.",michael,7
62,"Oh, my God! Oh! That's... horrifying. Horrible. Horrible person.",michael,9
64,"No, absolutely. Under this regime, it will not leave this office. [zips his lips] Like that.",michael,16
70,I have an important question for you.,pam,7
71,Yes?,jim,1
72,Are you going to Angela's cat party on Sunday?,pam,9
73,"Yeah, stop. That is ridiculous.",jim,5
74,"Am I going to tell them? No, I am not going to tell them. I don't see the point of that. As a doctor, you would not tell a patient if they had cancer.",michael,34
75,Hey.,michael,1
77,This is Mr. Scott.,pam,4
78,Guilty! Guilty as charged!,michael,4
80,"Howard, like Moe Howard. Three Stooges.",michael,6
82,"Watch this. This is Moe. Nyuck-nyuck-nyuck-nyuck-nyuck. Mee! [hold hand up for a high five] Ah, right here. Three Stooges. Oh, Pam. It's a guy thing, Pam. I'm sort of a student of comedy. Watch this. Here we go. [Yelling in cod German] I'm Hitler. Adolf Hitler. [Continues with cod German]",michael,50
83,"I don't think it would be the worst thing if they let me go because then I might... I don't think it's many little girls' dream to be a receptionist. I like to do illustrations. Um... Mostly watercolor. A few oil pencil. Um, Jim thinks they're good.",pam,47
84,Dunder Mifflin. This is Pam.,pam,5
85,"Sure. Mr. Davis, let me call you right back. Yeah, something just came up. Two minutes. Thank you very much. Dwight, what are you doing?",jim,25
86,What?,dwight,1
87,What are you doing?,jim,4
88,Just clearing my desk. I can't concentrate.,dwight,7
89,It's not on your desk.,jim,5
90,"It's overlapping. It's all spilling over the edge. One word, two syllables. Demarcation.",dwight,13
91,You can't do that.,dwight,4
92,Why not?,jim,2
93,Safety violation. I could fall and pierce an organ.,dwight,9
94,[crosses fingers] We'll see. [Dwight begins smashing pencils with his phone] This is why the whole downsizing thing just doesn't bother me.,jim,22
95,Downsizing?,dwight,1
96,"Downsizing? I have no problem with that. I have been recommending downsizing since I first got here. I even brought it up in my interview. I say, bring it on.",dwight,30
97,You just still have these messages from yesterday.,pam,8
98,"Relax. Everything's under control. Uh, yeah. Yeah. That's important. Right. Oh this is so important, I should run to answer it. [Imitating Six-Million Dollar Man sound effect]",michael,27
99,What?,pam,1
100,"Come on. Six-Million Dollar Man! Steve Austin! Actually, that would be a good salary for me, don't you think? Six million dollars? Memo to Jan. I deserve a raise.",michael,29
101,Don't we all?,pam,3
102,I'm sorry?,michael,2
103,Nothing.,pam,1
104,"If you're unhappy with your compensation, maybe you should take it up with HR. OK. Not today, OK? Pam, just be professional. [Sighs]",michael,23
